"Task Repositories","New Local Task","Insert","In Tasks View"
"File","Save","⌘S","In Windows"
"Text Editing","Set Mark","⌃Space","Editing Text"
"Source","Toggle Source/Header","⌃⌘↑","C/C++ Editor"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Run/Debug","Run","⌘R","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Delete Line","⌘D","Editing Text"
"Search","References in Workspace","⇧⌘G","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Text Editing","Text End","⌃X ]","Editing Text"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Navigate","Forward History","⌃⌘→","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Views","Show View (Git Repositories)","⌘9","In Windows"
"Run/Debug","Step Into Selection","⌘F5","Debugging C/C++"
"Navigate","Go to previous bookmark","⌃P","Editing Text"
"Window","Next Editor","⌘F6","In Windows"
"Makefile Source","Comment","⌃/","Makefile Editor"
"Editor Commands","Organize patches","⇧⌃O","Specfile Editor Context"
"Navigate","Open Call Hierarchy","⌃⌘M","In C/C++ Views"
"Project","Build All","⌘B","In Windows"
"Navigate","Set Quick Bookmark 3","⌥3","Editing Text"
"Text Editing","Previous Word","⌥←","Editing Text"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Text Editing","Delete Next Word","Esc D","Editing Text"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"File","New menu","⌥⌘N","In Windows"
"Project","Rebuild Last Target","F9","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Navigate","Set Quick Bookmark 5","⌥5","Editing Text"
"Git","Commit...","⌥⌘3","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Source","Format","⇧⌘F","Editing Java Source"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Editor Commands","Prepare Sources","⇧⌃R P","Specfile Editor Context"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Views","Show View (Search)","⌘3","In Windows"
"Text Editing","Clear Mark","⌃G","Editing Text"
"Views","Show View (Outline)","⌘2","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Text Editing","Scroll Line Up","⌥Z","Editing Text"
"Edit","Redo","F10","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Navigate","Next","⌘.","In Windows"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Navigate","Goto Quick Bookmark 1","⇧⌥1","Editing Text"
"Navigate","Set Quick Bookmark 9","⌥9","Editing Text"
"Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Reverse Debugging Commands","Reverse Step Over","⇧F6","Debugging C/C++"
"Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"UML2 Sequence Diagram Viewer Commands","Scroll right","⇧⌥→","UML2 Sequence Diagram Viewer"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Text Editing","Line End","⌃E","Editing Text"
"Text Editing","Next Word","⌥→","Editing Text"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Edit","Redo","⇧⌃+","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Changelog","Prepare Changelog In Editor","⌃⌥P","Comparing in an Editor"
"Source","Quick Type Hierarchy","⌘T","C/C++ Editor"
"Edit","Undo","⌃X U","In Windows"
"Navigate","Goto Quick Bookmark 7","⇧⌥7","Editing Text"
"Navigate","Quick Outline","⌃6","Task Markup Editor Source Context"
"Edit","Find and Replace","Esc R","In Windows"
"Edit","Select Previous C/C++ Element","⇧⌃←","C/C++ Editor"
"Edit","Find Previous","⇧⌘G","Editing Text"
"Terminal view commands","Paste","⌘V","Terminal Widget in Focus"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Navigate","Goto Quick Bookmark 6","⇧⌥6","Editing Text"
"Edit","Incremental Find","⌘J","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Scroll up","⇧⌥↑","UML2 Sequence Diagram Viewer"
"Navigate","Go to Line","⌘L","Editing Text"
"Text Editing","Next Word","Esc F","Editing Text"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Text Editing","Text Start","⌘↖","Editing Text"
"Text Editing","Text Start","⇧⌥<","Editing Text"
"Text Editing","Page Up","Esc V","Editing Text"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Navigate","Set Quick Bookmark 8","⌥8","Editing Text"
"Text Editing","Text Start","Esc ⇧<","Editing Text"
"Navigate","Goto Quick Bookmark 2","⇧⌥2","Editing Text"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"File","Close All","⌃X ⌃C","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Text Editing","Previous Word","Esc B","Editing Text"
"Makefile Source","Uncomment","⌃\","Makefile Editor"
"Source","References","⌥⌘K","C/C++ Editor"
"Changelog","Insert ChangeLog entry","⌃⌥C","Comparing in an Editor"
"Navigate","Show In (Project Explorer)","⇧⌘J","In Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Text Editing","Next Column","⌃F","Editing Text"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Text Editing","Text Start","⌃X [","Editing Text"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Search","Find Text in Project","⌃⌘K","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Navigate","Goto Quick Bookmark 4","⇧⌥4","Editing Text"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Text Editing","Delete Previous Word","Esc ⌫","Editing Text"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Source","Forward","⌥→","In Macro Expansion Hover"
"Text Editing","Page Up","⌥V","Editing Text"
"Navigate","Show In...","⌥⌘W","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Window","Previous View","⇧⌘F7","In Windows"
"Terminal view commands","Paste","⇧⌘V","Terminal Widget in Focus"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Views","Show View ()","⌥⌘Q T","In Windows"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Set Quick Bookmark 0","⌥0","Editing Text"
"Reverse Debugging Commands","Reverse Step Into","⇧F5","Debugging C/C++"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Source","Indent Line","⌘I","C/C++ Editor"
"Edit","Context Information","⇧⌥?","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Source","Organize Includes","⇧⌘O","C/C++ Editor"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Navigate","Goto Quick Bookmark 8","⇧⌥8","Editing Text"
"Text Editing","Text End","Esc ⇧>","Editing Text"
"Project","Make Target Build","⇧F9","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Text Editing","Text End","Esc >","Editing Text"
"Text Editing","Delete Next","⌃D","Editing Text"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Window","Activate Editor","⌘0","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Navigate","Open Type Hierarchy","⇧⌘H","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥V","Terminal Typing Connected"
"Source","Open Declaration","F3","In Macro Expansion Hover"
"Source","Go to Next Member","⌃⌥↓","C/C++ Editor"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Editor Commands","Toggle Comment","⇧⌃C","Editing Text"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Task Repositories","Quick Outline","⌃6","In Tasks Editor"
"Source","Add Include","⇧⌘N","C/C++ Editor"
"Navigate","Backward History","⌃⌘←","In Windows"
"Navigate","Next Page","⌥F7","In Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Source","Remove Block Comment","⇧⌘\","C/C++ Editor"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Source","Sort Lines","⌃⌘S","C/C++ Editor"
"File","Save","⌃X ⌃S","In Windows"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌘M","In C/C++ Views"
"Navigate","Goto Quick Bookmark 9","⇧⌥9","Editing Text"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Text Editing","Cut to Beginning of Line","Esc 0 ⌃K","Editing Text"
"Text Editing","Next Word","⌥F","Editing Text"
"Text Editing","Text Start","↖","Editing Text"
"File","Close","⌘W","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Navigate","Quick Outline","⌃6","Task Markup Editor Source Context"
"Navigate","Go to Line","⌃X G","Editing Text"
"Source","Open Element","⌘O","C/C++ Editor"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Edit","Shift Left","⇧Tab","C/C++ Editor"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"File","Rename","F2","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Source","Open Element","⌘O","In C/C++ Views"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"File","Refresh","F5","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Navigate","Open Call Hierarchy","⌃⌘M","C/C++ Editor"
"Edit","Context Information","⌥?","In Windows"
"UML2 Sequence Diagram Viewer Commands","Show node end","⇧⌥↘","UML2 Sequence Diagram Viewer"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Text Editing","Text End","⇧⌥>","Editing Text"
"Text Editing","Page Down","⌃V","Editing Text"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Navigate","Goto Quick Bookmark 5","⇧⌥5","Editing Text"
"Search","Open Search Dialog","⇧⌘F","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Navigate","Open Type Hierarchy","⇧⌘H","In Windows"
"Edit","Find Next","⌘G","Editing Text"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"UML2 Sequence Diagram Viewer Commands","Scroll down","⇧⌥↓","UML2 Sequence Diagram Viewer"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Edit","Incremental Find Reverse","⌃R","Editing Text"
"Window","Next View","⌘F7","In Windows"
"Navigate","Toggle bookmark","⌃B","Editing Text"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Navigate","Open Resource","⇧⌘O","In Windows"
"Source","Declaration","⌘G","C/C++ Editor"
"Navigate","Goto Quick Bookmark 3","⇧⌥3","Editing Text"
"Navigate","Set Quick Bookmark 1","⌥1","Editing Text"
"Navigate","Quick Outline","⌃6","WikiText Markup Source Context"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Search","Declaration in Workspace","⌘G","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"UML2 Sequence Diagram Viewer Commands","Show node start ","⇧⌥↖","UML2 Sequence Diagram Viewer"
"Changelog","Insert ChangeLog entry","⌃⌥C","Editing Text"
"Navigate","Goto Quick Bookmark 0","⇧⌥0","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Changelog","Prepare Changelog","⌃⌥P","In Windows"
"Text Editing","Recenter","⌃L","Editing Text"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Edit","Redo","⌃X R","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Edit","Select All","⌃X H","In Dialogs and Windows"
"Text Editing","Text Start","⌥<","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Navigate","Set Quick Bookmark 7","⌥7","Editing Text"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Terminal view commands","Paste","⇧Insert","Terminal Widget in Focus"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Focused UI","Focus on Active Task","⇧⌥H","In Windows"
"Edit","Copy","⌥W","In Dialogs and Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Terminal view commands","Copy","⌘C","Terminal Widget in Focus"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Source","Organize Imports","⇧⌘O","In Windows"
"File","New","⌘N","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","Print","⌥F9","In Windows"
"Changelog","Prepare Commit","⌃⌥V","Editing Text"
"File","Properties","⌘I","In Windows"
"Text Editing","Cut to Beginning of Line","⌥0 ⌃K","Editing Text"
"Edit","Word Completion","⌃.","Editing Text"
"Text Editing","Line Up","⌃P","Editing Text"
"Project","Build Clean","⇧⌘K","In Windows"
"Terminal view commands","Terminal view insert","⌥W","Terminal Typing Connected"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Terminal view commands","Quick Access","⌥→","Terminal Widget in Focus"
"Navigate","Open Type","⇧⌘T","In Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","⌥⌘L","C/C++ Editor"
"Text Editing","Line Down","⌃N","Editing Text"
"Navigate","Set Quick Bookmark 2","⌥2","Editing Text"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Edit","Content Assist","⌥/","In Dialogs and Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Changelog","Prepare Changelog In Editor","⌃⌥P","Editing Text"
"File","Print","⌘P","In Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Terminal view commands","Copy","⌘Insert","Terminal Widget in Focus"
"Edit","Find and Replace","⌘F","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"UML2 Sequence Diagram Viewer Commands","Go to associated message","⌥R","UML2 Sequence Diagram Viewer"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Views","Show View","⌥⌘Q Q","In Windows"
"Editor Commands","Show outline","⌃6","Specfile Editor Context"
"Window","Close Dialog","⌘W","In Dialogs"
"Edit","Restore Last C/C++ Selection","⇧⌃↓","C/C++ Editor"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Window","Quick Switch Editor","⌃Tab","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Views","Show View (Console)","⌘4","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Source","Surround With Quick Menu","⇧⌥Z","C/C++ Editor"
"Navigate","Set Quick Bookmark 6","⌥6","Editing Text"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Views","Show View (Project Explorer)","⌘1","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Navigate","Go to next bookmark","⌃N","Editing Text"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Text Editing","Text Start","Esc <","Editing Text"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"File","Save All","⇧⌘S","In Windows"
"Navigate","Quick Outline","⌃6","Task Markup Editor Source Context"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"Edit","Find and Replace","⌥R","In Windows"
